District,Date,Rainfall
Anuppur,01-06-2016,3.773
Anuppur,01-07-2016,11.56032258
Anuppur,01-08-2016,13.86516129
Anuppur,01-09-2016,7.181666667
Anuppur,01-10-2016,1.554193548
Anuppur,01-11-2016,0
Anuppur,01-12-2016,0
Anuppur,01-01-2017,0.012580645
Anuppur,01-02-2017,0.509642857
Anuppur,01-03-2017,0.166774194
Anuppur,01-04-2017,0
Anuppur,01-05-2017,0.30516129
Anuppur,01-06-2017,6.106333333
Anuppur,01-07-2017,9.088064516
Anuppur,01-08-2017,8.21483871
Anuppur,01-09-2017,5.713
Anuppur,01-10-2017,0.862580645
Anuppur,01-11-2017,0
Anuppur,01-12-2017,0
Anuppur,01-01-2018,0
Anuppur,01-02-2018,0.332142857
Anuppur,01-03-2018,0.011935484
Anuppur,01-04-2018,0.802666667
Anuppur,01-05-2018,0.608387097
Anuppur,01-06-2018,5.547333333
Anuppur,01-07-2018,12.58967742
Anuppur,01-08-2018,9
Anuppur,01-09-2018,5.238333333
Anuppur,01-10-2018,0.039677419
Anuppur,01-11-2018,0
Anuppur,01-12-2018,0.897741935
Anuppur,01-01-2019,0.982580645
Anuppur,01-02-2019,0.575714286
Anuppur,01-03-2019,1.651290323
Anuppur,01-04-2019,0.213
Anuppur,01-05-2019,0.309677419
Anuppur,01-06-2019,3.948333333
Anuppur,01-07-2019,12.29451613
Anuppur,01-08-2019,15.20935484
Anuppur,01-09-2019,12.666
Anuppur,01-10-2019,0.622258065
Anuppur,01-11-2019,0
Anuppur,01-12-2019,0.207419355
Anuppur,01-01-2020,1.742258065
Anuppur,01-02-2020,1.267586207
Anuppur,01-03-2020,2.044193548
Anuppur,01-04-2020,0.886333333
Anuppur,01-05-2020,1.507857143
Anuppur,01-06-2020,9.319666667
Anuppur,01-07-2020,8.731875
Anuppur,01-08-2020,16.12225806
Anuppur,01-09-2020,4.828
Anuppur,01-10-2020,2.660322581
Anuppur,01-11-2020,0.175333333
Anuppur,01-12-2020,0.074193548
Anuppur,01-01-2021,0.200322581
Anuppur,01-02-2021,0.8525
Anuppur,01-03-2021,0.136451613
Anuppur,01-04-2021,0.158275862
Anuppur,01-05-2021,2.945862069
Anuppur,01-06-2021,6.68125
Anuppur,01-07-2021,10.56965517
Anuppur,01-08-2021,10.11129032
Anuppur,01-09-2021,11.73866667
Anuppur,01-10-2021,1.222258065
Anuppur,01-11-2021,0.047333333
Anuppur,01-12-2021,0.901935484
Anuppur,01-01-2022,0.898387097
Anuppur,01-02-2022,0.996666667
Anuppur,01-03-2022,0.15
Anuppur,01-04-2022,0.008928571
Anuppur,01-05-2022,0.535806452
